open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
480.0,488.4291,465.3401,471.58,2783808.0,488.4291,465.3401,471.58,480.0,2783808.0,1.0,0.0,SPOT,XNYS,2024-12-10
496.52,497.0,481.0,482.52,2903253.0,497.0,481.0,482.52,496.52,2903253.0,1.0,0.0,SPOT,XNYS,2024-12-09
495.22,499.02,487.69,498.63,1841230.0,499.02,487.69,498.63,495.22,1841230.0,1.0,0.0,SPOT,XNYS,2024-12-06
492.6,495.06,480.66,493.51,2241048.0,495.06,480.66,493.51,492.6,2241048.0,1.0,0.0,SPOT,XNYS,2024-12-05
493.5,506.4729,490.2277,502.38,2489107.0,506.4729,490.2277,502.38,493.5,2489107.0,1.0,0.0,SPOT,XNYS,2024-12-04
477.28,494.0,477.0,493.32,2160288.0,494.0,477.0,493.32,477.28,2160288.0,1.0,0.0,SPOT,XNYS,2024-12-03
478.765,482.38,473.01,480.27,2040172.0,482.38,473.01,480.27,478.765,2040172.0,1.0,0.0,SPOT,XNYS,2024-12-02
475.72,478.87,473.33,476.96,981171.0,478.87,473.33,476.96,475.72,981171.0,1.0,0.0,SPOT,XNYS,2024-11-29
480.3,484.29,473.175,475.24,2045599.0,484.29,473.175,475.24,480.3,2045599.0,1.0,0.0,SPOT,XNYS,2024-11-27
477.55,482.72,474.335,476.61,2660794.0,482.72,474.335,476.61,477.55,2660794.0,1.0,0.0,SPOT,XNYS,2024-11-26
483.35,485.46,466.88,481.38,27687736.0,485.46,466.88,481.38,483.35,27687736.0,1.0,0.0,SPOT,XNYS,2024-11-25
471.81,480.09,469.49,475.04,2296207.0,480.09,469.49,475.04,471.81,2296207.0,1.0,0.0,SPOT,XNYS,2024-11-22
468.22,473.62,465.5035,470.7,2181792.0,473.62,465.5035,470.7,468.22,2181792.0,1.0,0.0,SPOT,XNYS,2024-11-21
467.78,473.0,460.6487,470.01,2386422.0,473.0,460.6487,470.01,467.78,2386422.0,1.0,0.0,SPOT,XNYS,2024-11-20
454.3,465.21,450.0,463.83,2799585.0,465.21,450.0,463.83,454.3,2799585.0,1.0,0.0,SPOT,XNYS,2024-11-19
460.64,460.64,452.49,454.36,2950157.0,460.64,452.49,454.36,460.64,2950157.0,1.0,0.0,SPOT,XNYS,2024-11-18
474.0,474.0,457.54,458.32,3024154.0,474.0,457.54,458.32,474.0,3024154.0,1.0,0.0,SPOT,XNYS,2024-11-15
471.0,489.69,466.36,477.5,5040192.0,489.69,466.36,477.5,471.0,5040192.0,1.0,0.0,SPOT,XNYS,2024-11-14
460.26,473.0,445.0001,467.37,12048765.0,473.0,445.0001,467.37,460.26,12048765.0,1.0,0.0,SPOT,XNYS,2024-11-13
415.81,420.0,411.4,419.39,6596682.0,420.0,411.4,419.39,415.81,6596682.0,1.0,0.0,SPOT,XNYS,2024-11-12
405.11,412.95,404.79,410.19,3289863.0,412.95,404.79,410.19,405.11,3289863.0,1.0,0.0,SPOT,XNYS,2024-11-11
399.15,405.93,397.33,400.68,2038256.0,405.93,397.33,400.68,399.15,2038256.0,1.0,0.0,SPOT,XNYS,2024-11-08
399.0,403.76,391.42,399.84,2694520.0,403.76,391.42,399.84,399.0,2694520.0,1.0,0.0,SPOT,XNYS,2024-11-07
